Date: 1-1-2022
Player: S. Curry, line: O 2.5, odds: (-130)
Player: I. Joe, line: O 2.5, odds: (+140)
Player: F. Korkmaz, line: O 4.5, odds: (+105)
Player: R.J. Hampton Jr., line: O 2.5, odds: (-145)
Player: Mo Bamba, line: O 6.5, odds: (-115)
Player: A. Drummond, line: O 7.5, odds: (EVEN)
Player: J. McDaniels, line: O 4.5, odds: (+120)
Player: C. Martin, line: O 3.5, odds: (-105)
Player: T. Lyles, line: O 7.5, odds: (-120)
Player: K. Oubre Jr., line: O 2.5, odds: (-175)
Player: J. Jackson, line: O 3.5, odds: (+110)
Player: P.J. Washington, line: O 4.5, odds: (-110)
Player: L. Garza, line: O 4.5, odds: (-140)
Player: L. Ball, line: O 6.5, odds: (-155)
Player: K. Hayes, line: O 2.5, odds: (-135)
Player: M. Plumlee, line: O 7.5, odds: (-105)
Player: G. Hayward, line: O 5.5, odds: (+110)
Player: H. Diallo, line: O 6.5, odds: (-135)
Player: S. Bey, line: O 6.5, odds: (-145)
Player: T. Rozier, line: O 3.5, odds: (-160)
Player: C. Cunningham, line: O 5.5, odds: (-125)
Player: M. Bridges, line: O 7.5, odds: (+110)
Player: D. Vassell, line: O 4.5, odds: (+110)
Player: J. Richardson, line: O 2.5, odds: (-120)
Player: B. Forbes, line: O 1.5, odds: (-130)
Player: K. Johnson, line: O 6.5, odds: (-110)
Player: J. Landale, line: O 3.5, odds: (+130)
Player: D. White, line: O 3.5, odds: (-120)
Player: J. Poeltl, line: O 8.5, odds: (+110)
Player: D. Schroder, line: O 2.5, odds: (-120)
Player: D. Murray, line: O 7.5, odds: (EVEN)
Player: J. Brown, line: O 6.5, odds: (EVEN)
Player: Al Horford, line: O 7.5, odds: (-110)
Player: T. Jones, line: O 2.5, odds: (-155)
Player: M. Smart, line: O 3.5, odds: (-165)
Player: R. Williams III, line: O 9.5, odds: (-110)
Player: J. Tatum, line: O 8.5, odds: (+115)
Player: K. Sykes, line: O 3.5, odds: (-115)
Player: D. Washington Jr., line: O 3.5, odds: (+135)
Player: J. Holiday, line: O 3.5, odds: (+130)
Player: D. Duke Jr., line: O 2.5, odds: (-160)
Player: L. Stephenson, line: O 3.5, odds: (+115)
Player: L. Aldridge, line: O 5.5, odds: (EVEN)
Player: P. Mills, line: O 1.5, odds: (-120)
Player: N. Claxton, line: O 5.5, odds: (-135)
Player: D. Sabonis, line: O 12.5, odds: (-135)
Player: K. Durant, line: O 6.5, odds: (-135)
Player: K. Irving, line: O 3.5, odds: (-160)
Player: M. Turner, line: O 7.5, odds: (-150)
Player: J. Harden, line: O 7.5, odds: (-115)
Player: O. Brissett, line: O 5.5, odds: (EVEN)
Player: M. Kleber, line: O 5.5, odds: (-160)
Player: D. Powell, line: O 5.5, odds: (-110)
Player: D. Lee, line: O 2.5, odds: (+125)
Player: J. Poole, line: O 2.5, odds: (-140)
Player: G. Payton II, line: O 5.5, odds: (-115)
Player: L. Doncic, line: O 7.5, odds: (-145)
Player: J. Toscano-Anderson, line: O 3.5, odds: (+110)
Player: A. Wiggins, line: O 4.5, odds: (-105)
Player: N. Bjelica, line: O 3.5, odds: (-130)
Player: S. Curry, line: O 4.5, odds: (-120)
Player: K. Looney, line: O 6.5, odds: (-110)
